Datetime,open,high,low,close,Adj Close,Volume,candlestick_pattern,candlestick_match_count,signal
2021-08-09 11:05:00+08:00,26495.640625,26527.240234375,26484.44921875,26491.30078125,26491.30078125,0,CDLSPINNINGTOP_Bear,1.0,Sell
2021-08-09 11:10:00+08:00,26495.890625,26515.080078125,26494.2109375,26494.759765625,26494.759765625,0,CDLLONGLEGGEDDOJI_Bull,3.0,Buy
2021-08-09 11:15:00+08:00,26494.4609375,26495.33984375,26423.08984375,26432.30078125,26432.30078125,0,CDLBELTHOLD_Bear,2.0,Sell
2021-08-09 11:20:00+08:00,26433.169921875,26448.0703125,26422.0,26427.189453125,26427.189453125,0,NO_PATTERN,0.0,None
2021-08-09 11:25:00+08:00,26427.05078125,26447.560546875,26427.05078125,26438.490234375,26438.490234375,0,CDLENGULFING_Bull,1.0,Buy
2021-08-09 11:30:00+08:00,26441.83984375,26441.83984375,26411.5703125,26430.939453125,26430.939453125,0,CDLHAMMER_Bull,2.0,Buy
2021-08-09 11:35:00+08:00,26431.029296875,26447.5390625,26428.9296875,26444.109375,26444.109375,0,NO_PATTERN,0.0,None
2021-08-09 11:40:00+08:00,26443.83984375,26458.0390625,26435.75,26440.419921875,26440.419921875,0,CDLRICKSHAWMAN_Bull,4.0,Buy
2021-08-09 11:45:00+08:00,26444.390625,26444.390625,26410.9609375,26410.9609375,26410.9609375,0,CDLCLOSINGMARUBOZU_Bear,3.0,Sell
2021-08-09 11:50:00+08:00,26410.759765625,26445.0,26407.25,26434.419921875,26434.419921875,0,CDLPIERCING_Bull,1.0,Buy
2021-08-09 11:55:00+08:00,26433.689453125,26433.689453125,26411.130859375,26422.099609375,26422.099609375,0,CDLHARAMI_Bear,1.0,Sell
2021-08-09 12:00:00+08:00,26424.41015625,26424.41015625,26424.41015625,26424.41015625,26424.41015625,0,CDLDOJI_Bull,1.0,Buy
2021-08-09 13:00:00+08:00,26426.08984375,26426.08984375,26401.439453125,26410.9296875,26410.9296875,0,CDLENGULFING_Bear,1.0,Sell
2021-08-09 13:05:00+08:00,26411.33984375,26422.5390625,26387.869140625,26391.310546875,26391.310546875,0,CDL3OUTSIDE_Bear,1.0,Sell
